    New chain ID            Original chain ID

3j3q-pdb-bundle1.pdb:
           A                        g8
           B                        g9
           C                        ga
           D                        gb
           E                        gc
           F                        gd
           G                        ge
           H                        gf
           I                        gg
           J                        gh
           K                        1C
           L                        gi
           M                        gj
           N                        gk
           O                        gl
           P                        gm
           Q                        gn
           R                        go
           S                        gp
           T                        gq
           U                        gr
           V                        1D
           W                        gs
           X                        gt
           Y                        gu
           Z                        gv
           a                        gw
           b                        gx
           c                        gy
           d                        gz
           e                        gA
           f                        gB
           g                        1E
           h                        gC
           i                        gD
           j                        gE
           k                        gF
           l                        gG
           m                        gH
           n                        gI
           o                        gJ
           p                        gK
           q                        gL
           r                        1F
           s                        gM
           t                        gN
           u                        gO
           v                        gP
           w                        gQ
           x                        gR
           y                        gS
           z                        gT
           0                        gU
           1                        gV
           2                        1G

3j3q-pdb-bundle2.pdb:
           A                        gW
           B                        gX
           C                        gY
           D                        gZ
           E                        h0
           F                        h1
           G                        h2
           H                        h3
           I                        h4
           J                        h5
           K                        1H
           L                        h6
           M                        h7
           N                        h8
           O                        h9
           P                        ha
           Q                        hb
           R                        hc
           S                        hd
           T                        he
           U                        hf
           V                        1I
           W                        hg
           X                        hh
           Y                        hi
           Z                        hj
           a                        hk
           b                        hl
           c                        hm
           d                        hn
           e                        ho
           f                        hp
           g                        1J
           h                        hq
           i                        hr
           j                        hs
           k                        ht
           l                        hu
           m                        hv
           n                        hw
           o                        hx
           p                        hy
           q                        hz
           r                        1K
           s                        hA
           t                        hB
           u                        hC
           v                        hD
           w                        hE
           x                        hF
           y                        hG
           z                        hH
           0                        hI
           1                        hJ
           2                        1L

3j3q-pdb-bundle3.pdb:
           A                        hK
           B                        hL
           C                        hM
           D                        hN
           E                        hO
           F                        hP
           G                        hQ
           H                        hR
           I                        hS
           J                        hT
           K                        1M
           L                        hU
           M                        hV
           N                        hW
           O                        hX
           P                        hY
           Q                        hZ
           R                        i0
           S                        i1
           T                        i2
           U                        i3
           V                        1N
           W                        i4
           X                        i5
           Y                        i6
           Z                        i7
           a                        i8
           b                        i9
           c                        ia
           d                        ib
           e                        ic
           f                        id
           g                        1O
           h                        ie
           i                        if
           j                        ig
           k                        ih
           l                        ii
           m                        ij
           n                        ik
           o                        il
           p                        im
           q                        in
           r                        1P
           s                        io
           t                        ip
           u                        iq
           v                        ir
           w                        is
           x                        it
           y                        iu
           z                        iv
           0                        iw
           1                        ix
           2                        1Q

3j3q-pdb-bundle4.pdb:
           A                        iy
           B                        iz
           C                        iA
           D                        iB
           E                        iC
           F                        iD
           G                        iE
           H                        iF
           I                        iG
           J                        iH
           K                        1R
           L                        iI
           M                        iJ
           N                        iK
           O                        iL
           P                        iM
           Q                        iN
           R                        iO
           S                        iP
           T                        iQ
           U                        iR
           V                        1S
           W                        iS
           X                        iT
           Y                        iU
           Z                        iV
           a                        iW
           b                        iX
           c                        iY
           d                        iZ
           e                        j0
           f                        j1
           g                        1T
           h                        j2
           i                        j3
           j                        j4
           k                        j5
           l                        j6
           m                        j7
           n                        j8
           o                        j9
           p                        ja
           q                        jb
           r                        1U
           s                        jc
           t                        jd
           u                        je
           v                        jf
           w                        jg
           x                        jh
           y                        ji
           z                        jj
           0                        jk
           1                        jl
           2                        1V

3j3q-pdb-bundle5.pdb:
           A                        jm
           B                        jn
           C                        jo
           D                        jp
           E                        jq
           F                        jr
           G                        js
           H                        jt
           I                        ju
           J                        jv
           K                        1W
           L                        jw
           M                        jx
           N                        jy
           O                        jz
           P                        jA
           Q                        jB
           R                        jC
           S                        jD
           T                        jE
           U                        jF
           V                        1X
           W                        jG
           X                        jH
           Y                        jI
           Z                        jJ
           a                        jK
           b                        jL
           c                        jM
           d                        jN
           e                        jO
           f                        jP
           g                        1Y
           h                        jQ
           i                        jR
           j                        jS
           k                        jT
           l                        jU
           m                        jV
           n                        jW
           o                        jX
           p                        jY
           q                        jZ
           r                        1Z
           s                        k0
           t                        k1
           u                        k2
           v                        k3
           w                        k4
           x                        k5
           y                        k6
           z                        k7
           0                        k8
           1                        k9
           2                        20

3j3q-pdb-bundle6.pdb:
           A                        ka
           B                        kb
           C                        kc
           D                        kd
           E                        ke
           F                        kf
           G                        kg
           H                        kh
           I                        ki
           J                        kj
           K                        21
           L                        kk
           M                        kl
           N                        km
           O                        kn
           P                        ko
           Q                        kp
           R                        kq
           S                        kr
           T                        ks
           U                        kt
           V                        22
           W                        ku
           X                        kv
           Y                        kw
           Z                        kx
           a                        ky
           b                        kz
           c                        kA
           d                        kB
           e                        kC
           f                        kD
           g                        23
           h                        kE
           i                        kF
           j                        kG
           k                        kH
           l                        kI
           m                        kJ
           n                        kK
           o                        kL
           p                        kM
           q                        kN
           r                        24
           s                        kO
           t                        kP
           u                        kQ
           v                        kR
           w                        kS
           x                        kT
           y                        kU
           z                        kV
           0                        kW
           1                        kX
           2                        25

3j3q-pdb-bundle7.pdb:
           A                        kY
           B                        kZ
           C                        l0
           D                        l1
           E                        l2
           F                        l3
           G                        l4
           H                        l5
           I                        l6
           J                        l7
           K                        26
           L                        l8
           M                        l9
           N                        la
           O                        lb
           P                        lc
           Q                        ld
           R                        le
           S                        lf
           T                        lg
           U                        lh
           V                        27
           W                        li
           X                        lj
           Y                        lk
           Z                        ll
           a                        lm
           b                        ln
           c                        lo
           d                        lp
           e                        lq
           f                        lr
           g                        28
           h                        ls
           i                        lt
           j                        lu
           k                        lv
           l                        lw
           m                        lx
           n                        ly
           o                        lz
           p                        lA
           q                        lB
           r                        29
           s                        lC
           t                        lD
           u                        lE
           v                        lF
           w                        lG
           x                        lH
           y                        lI
           z                        lJ
           0                        lK
           1                        lL
           2                        2a

3j3q-pdb-bundle8.pdb:
           A                        lM
           B                        lN
           C                        lO
           D                        lP
           E                        lQ
           F                        lR
           G                        2b
           H                        2c
           I                        2d
           J                        2e
           K                        2f
           L                        2g
           M                        2h
           N                        2i
           O                        2j
           P                        2k
           Q                        2l
           R                        2m
           S                        2n
           T                        2o
           U                        2p
           V                        2q
           W                        2r
           X                        2s
           Y                        2t
           Z                        2u
           a                        2v
           b                        2w
           c                        2x
           d                        2y
           e                        2z
           f                        2A
           g                        2B
           h                        2C
           i                        2D
           j                        2E
           k                        2F
           l                        2G
           m                        2H
           n                        2I
           o                        2J
           p                        2K
           q                        2L
           r                        2M
           s                        2N
           t                        2O
           u                        2P
           v                        2Q
           w                        2R
           x                        2S
           y                        2T
           z                        2U
           0                        2V
           1                        2W
           2                        2X

3j3q-pdb-bundle9.pdb:
           A                        2Y
           B                        2Z
           C                        30
           D                        31
           E                        32
           F                        33
           G                        34
           H                        35
           I                        36
           J                        37
           K                        38
           L                        39
           M                        3a
           N                        3b
           O                        3c
           P                        3d
           Q                        3e
           R                        3f
           S                        3g
           T                        3h
           U                        3i
           V                        3j
           W                        3k
           X                        3l
           Y                        3m
           Z                        3n
           a                        3o
           b                        3p
           c                        3q
           d                        3r
           e                        3s
           f                        3t
           g                        3u
           h                        3v
           i                        3w
           j                        3x
           k                        3y
           l                        3z
           m                        3A
           n                        3B
           o                        3C
           p                        3D
           q                        3E
           r                        3F
           s                        3G
           t                        3H
           u                        3I
           v                        3J
           w                        3K
           x                        3L
           y                        3M
           z                        3N
           0                        3O
           1                        3P
           2                        3Q

3j3q-pdb-bundle10.pdb:
           A                        3R
           B                        3S
           C                        3T
           D                        3U
           E                        3V
           F                        3W
           G                        3X
           H                        3Y
           I                        3Z
           J                        40
           K                        41
           L                        42
           M                        43
           N                        44
           O                        45
           P                        46
           Q                        47
           R                        48
           S                        49
           T                        4a
           U                        4b
           V                        4c
           W                        4d
           X                        4e
           Y                        4f
           Z                        4g
           a                        4h
           b                        4i
           c                        4j
           d                        4k
           e                        4l
           f                        4m
           g                        4n
           h                        4o
           i                        4p
           j                        4q
           k                        4r
           l                        4s
           m                        4t
           n                        4u
           o                        4v
           p                        4w
           q                        4x
           r                        4y
           s                        4z
           t                        4A
           u                        4B
           v                        4C
           w                        4D
           x                        4E
           y                        4F
           z                        4G
           0                        4H
           1                        4I
           2                        4J

3j3q-pdb-bundle11.pdb:
           A                        4K
           B                        4L
           C                        4M
           D                        4N
           E                        4O
           F                        4P
           G                        4Q
           H                        4R
           I                        4S
           J                        4T
           K                        4U
           L                        4V
           M                        4W
           N                        4X
           O                        4Y
           P                        4Z
           Q                        50
           R                        51
           S                        52
           T                        53
           U                        54
           V                        55
           W                        56
           X                        57
           Y                        58
           Z                        59
           a                        5a
           b                        5b
           c                        5c
           d                        5d
           e                        5e
           f                        5f
           g                        5g
           h                        5h
           i                        5i
           j                        5j
           k                        5k
           l                        5l
           m                        5m
           n                        5n
           o                        5o
           p                        5p
           q                        5q
           r                        5r
           s                        5s
           t                        5t
           u                        5u
           v                        5v
           w                        5w
           x                        5x
           y                        5y
           z                        5z
           0                        5A
           1                        5B
           2                        5C

3j3q-pdb-bundle12.pdb:
           A                        5D
           B                        5E
           C                        5F
           D                        5G
           E                        5H
           F                        5I
           G                        5J
           H                        5K
           I                        5L
           J                        5M
           K                        5N
           L                        5O
           M                        5P
           N                        5Q
           O                        5R
           P                        5S
           Q                        5T
           R                        5U
           S                        5V
           T                        5W
           U                        5X
           V                        5Y
           W                        5Z
           X                        60
           Y                        61
           Z                        62
           a                        63
           b                        64
           c                        65
           d                        66
           e                        67
           f                        68
           g                        69
           h                        6a
           i                        6b
           j                        6c
           k                        6d
           l                        6e
           m                        6f
           n                        6g
           o                        6h
           p                        6i
           q                        6j
           r                        6k
           s                        6l
           t                        6m
           u                        6n
           v                        6o
           w                        6p
           x                        6q
           y                        6r
           z                        6s
           0                        6t
           1                        6u
           2                        6v

3j3q-pdb-bundle13.pdb:
           A                        6w
           B                        6x
           C                        6y
           D                        6z
           E                        6A
           F                        6B
           G                        6C
           H                        6D
           I                        6E
           J                        6F
           K                        6G
           L                        6H
           M                        6I
           N                        6J
           O                        6K
           P                        6L
           Q                        6M
           R                        6N
           S                        6O
           T                        6P
           U                        6Q
           V                        6R
           W                        6S
           X                        6T
           Y                        6U
           Z                        6V
           a                        6W
           b                        6X
           c                        6Y
           d                        6Z
           e                        70
           f                        71
           g                        72
           h                        73
           i                        74
           j                        75
           k                        76
           l                        77
           m                        78
           n                        79
           o                        7a
           p                        7b
           q                        7c
           r                        7d
           s                        7e
           t                        7f
           u                        7g
           v                        7h
           w                        7i
           x                        7j
           y                        7k
           z                        7l
           0                        7m
           1                        7n
           2                        7o

3j3q-pdb-bundle14.pdb:
           A                        7p
           B                        7q
           C                        7r
           D                        7s
           E                        7t
           F                        7u
           G                        7v
           H                        7w
           I                        7x
           J                        7y
           K                        7z
           L                        7A
           M                        7B
           N                        7C
           O                        7D
           P                        7E
           Q                        7F
           R                        7G
           S                        7H
           T                        7I
           U                        7J
           V                        7K
           W                        7L
           X                        7M
           Y                        7N
           Z                        7O
           a                        7P
           b                        7Q
           c                        7R
           d                        7S
           e                        7T
           f                        7U
           g                        7V
           h                        7W
           i                        7X
           j                        7Y
           k                        7Z
           l                        80
           m                        81
           n                        82
           o                        83
           p                        84
           q                        85
           r                        86
           s                        87
           t                        88
           u                        89
           v                        8a
           w                        8b
           x                        8c
           y                        8d
           z                        8e
           0                        8f
           1                        8g
           2                        8h

3j3q-pdb-bundle15.pdb:
