TACC: Starting up job 7921000
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
 -------------------== CASL Options Database ==------------------- 
 List of entered options:

 ----------------------------------------------------------------- 
mpi_size=16
mol	nodes	atoms	lmin	lmax	ftime	msmstime	area
1d65	17510	760	4	7	0.342	0.070	3186.766
6rxn	28855	667	4	7	0.518	0.070	2194.445
2err	14701	1638	4	7	0.295	0.100	4254.071
1aa2	28491	1755	4	7	0.473	0.100	4293.911
2x6a	14174	4294	4	7	0.291	0.280	10212.342
3M3D	23451	8346	4	7	0.406	0.038	13562.505
1mah	18263	9133	4	7	0.323	0.830	14238.882
1fss	25324	9252	4	7	0.419	0.410	15040.804
1OED	22540	10245	4	7	0.413	1.950	21841.541
3ecd	20233	23468	4	7	0.358	2.890	34223.003
1JB0	23486	34720	4	7	0.414	5.700	61530.231
3J6D	18438	131664	4	7	0.327	29.740	216033.342

mol	nodes	atoms	lmin	lmax	ftime	msmstime	area
1d65	51880	760	4	8	0.808	0.070	3476.496
6rxn	100808	667	4	8	1.619	0.070	2278.592
2err	39530	1638	4	8	0.702	0.100	4643.455
1aa2	100898	1755	4	8	1.432	0.100	4594.678
2x6a	36538	4294	4	8	0.658	0.280	11519.834
3M3D	81040	8346	4	8	1.119	0.038	15124.784
1mah	57253	9133	4	8	0.827	0.830	16066.594
1fss	89915	9252	4	8	1.229	0.410	16805.523
1OED	78741	10245	4	8	1.098	1.950	26104.266
3ecd	67744	23468	4	8	0.937	2.890	38775.263
1JB0	85724	34720	4	8	1.110	5.700	70818.872
3J6D	59042	131664	4	8	0.815	29.740	261243.008

mol	nodes	atoms	lmin	lmax	ftime	msmstime	area
1d65	232228	760	5	9	3.272	0.070	3588.238
6rxn	447596	667	5	9	6.250	0.070	2334.928
2err	174219	1638	5	9	2.611	0.100	4880.658
1aa2	452635	1755	5	9	6.286	0.100	4744.736
2x6a	161512	4294	5	9	2.458	0.280	12355.790
3M3D	369077	8346	5	9	4.835	0.038	16244.647
1mah	260287	9133	5	9	3.403	0.830	17541.792
1fss	408499	9252	5	9	5.287	0.410	17924.725
1OED	395127	10245	5	9	4.681	1.950	29090.801
3ecd	320408	23468	5	9	3.828	2.890	42993.299
1JB0	445281	34720	5	9	4.773	5.700	79017.092
3J6D	294663	131664	5	9	3.288	29.740	305499.822

mol	nodes	atoms	lmin	lmax	ftime	msmstime	area
1d65	879936	760	5	10	10.982	0.070	3663.600
6rxn	1735988	667	5	10	20.836	0.070	2456.839
2err	644392	1638	5	10	9.072	0.100	5029.152
1aa2	2001660	1755	5	10	22.400	0.100	5009.767
2x6a	580330	4294	5	10	8.297	0.280	12907.532
3M3D	1582491	8346	5	10	21.024	0.038	16924.212
1mah	1060807	9133	5	10	14.081	0.830	18573.954
1fss	1771092	9252	5	10	23.685	0.410	18740.888
1OED	1813669	10245	5	10	21.029	1.950	31009.942
3ecd	1361327	23468	5	10	16.163	2.890	46725.768
1JB0	2117694	34720	5	10	21.687	5.700	85462.103
3J6D	1465829	131664	5	10	13.764	29.740	344314.672

mol	nodes	atoms	lmin	lmax	ftime	msmstime	area
1d65	3493670	760	5	11	39.998	0.070	3756.771
6rxn	6806782	667	5	11	77.044	0.070	2464.306
2err	2771095	1638	5	11	32.771	0.100	5441.541
1aa2	7648041	1755	5	11	81.446	0.100	5203.710
2x6a	2575580	4294	5	11	32.793	0.280	13314.989
3M3D	7998187	8346	5	11	79.384	0.038	18916.315
1mah	5610226	9133	5	11	59.217	0.830	19540.439
1fss	8985196	9252	5	11	89.297	0.410	21040.447
1OED	9257182	10245	5	11	88.526	1.950	33422.910
3ecd	6514929	23468	5	11	78.001	2.890	49031.379
1JB0	10240970	34720	5	11	115.716	5.700	89356.528
3J6D	7766836	131664	5	11	73.956	29.740	373388.238

TACC: MPI job exited with code: 1
 
TACC: Shutdown complete. Exiting.
